QUE-525175Talia Yes           OTHREPAIR 162362Control board failure
ONT-432586Dallas Killby       WASREPAIR 376333Broken display panel
ONT-459865Odelinda Leneham    GTHREPAIR 311064Frequent power trips
QUE-354029Talia Iannetti      ACOREPAIR 282744Unit not cooling properly
QUC-681619                    STVREPAIR 273376Electrical fault detected
MAN-112236Noni Sabey          ACOREPAIR 379083Electrical fault detected
ONT-488585Waylin Jeyes        ACOREPAIR 260651Inconsistent heating
ALB-101366Celka Stears        STVREPAIR 280161Broken display panel
ONT-587177Fletcher Heggs      ACOREPAIR 325109Unresponsive control panel
MAN-239975Mae Antonopoulos    WASREPAIR 461480Frequent power trips
ALB-508240Jenifer Pepi        FRRREPAIR 272E44Unit not cooling properly
ALB-803174Trista Carnoghan    WASREPAIR 094074Compressor making noise
QUE-750000Verine Savile       OTHREPAIR 029702Water leakage found
ALB-852692Ash Antonopoulos    WASREPAIR 491827Inconsistent heating
ONT-405853Odelinda Grivori    FRGREPAIR 310522Unit not cooling properly
ONT-629196Henry Doniso        OTHREPAIR 130682Unit not cooling properly
QUE-554832Fletcher Beckham    STVREPAIR 491468Compressor making noise
MAN-555858Philippine Denkin   WASREPAIR 363545Control board failure
QUE-350000Winnah Jeyes        ACOREPAIR 260570Compressor making noise
QUE-644606Henry Pierce        STVREPAIR 489214Compressor making noise
ALB-444087Rowney Baynon       OTHREPAIR 458048Unusual vibration observed
MAN-477545Philippine Pierce   WASREPAIR 216155Electrical fault detected
ONT-671215Marven Leneham      STVREPAIR 221440Unusual vibration observed
ALB-305585Celka Eagleton      FRGREPAIR 101363Broken display panel
QUE-375489Abbey Mollon        ACOREPAIR 298338Frequent power trips
ALB-075988Trista Brumble      WASREPAIR 159376Inconsistent heating
ALB-857095Jenifer Jiru        ACOREPAIR 217778Electrical fault detected
ALB-859945Thaddeus Sambedge   ACOREPAIR 287728Unit not cooling properly
QUE-463075Trista Leneham      FRGREPAIR 069460Frequent power trips
ONT-525494Wylie Ashcroft      FRGREPAIR 369567Water leakage found
ALB-361638Ryan Yes            ACOREPAIR 484356Unresponsive control panel
ONT-714724Chalmers Cary       ACOREPAIR 497274Unit not cooling properly
MAN-664169Winnah Cary         STVREPAIR 011417Unusual vibration observed
QUE-638976Talia Pittford      ACOREPAIR 418802Frequent power trips
ALB-475313 sh Ashcroft        WASREPAIR 194067Inconsistent heating
ASD-312565Verine Pepi         ACOREPAIR 044901Unit not cooling properly
ONT-478045Denyse Beckham      STVREPAIR 487159Unresponsive control panel
QUE-678750Chelsea Pierce      WASREPAIR 076102Unit not cooling properly
QUE-622309Henry Brazier       OTHREPAIR 107082Control board failure
ONT-489537Jenifer Denkin      STVREPAIR 226956Unusual vibration observed
MAN-783155Goldi Dantesia      WASREPAIR 338226Inconsistent heating
ONT-4F1832Leilah Busse        WASREPAIR 227F69Compressor making noise
QUE-583258Ash Clementson      FRGREPAIR 418315Compressor making noise
ONT-417682Opalina Ashcroft    WASREPAIR 285914Unresponsive control panel
QUE-675520Chalmers Guest      FRGREPAIR 391239Electrical fault detected
QUE-647655Rowney Sabey        OTHREPAIR 130149Broken display panel
QUE-432295Dallas Guest        STVREPAIR 093397Unusual vibration observed
MAN-977038Lorilee Denkin      WASREPAIR 191115Unresponsive control panel
MAN-010936Malachi Stears      ACOREPAIR 210314Inconsistent heating
MAN-087027Jon Killby          WASREPAIR 049696Electrical fault detected
ONT-592974Rowney Brazier      STVREPAIR 120430Compressor making noise
ALB-790667Waylin Heggs        OTHREPAIR 449122Broken display panel

